,name,hierarchy,countries,iso3
122,REMIND 3.1|EU Center-East Europe,REMIND 3.1,"['Czechia', 'Estonia', 'Latvia', 'Lithuania', 'Poland', 'Slovakia']","['CZE', 'EST', 'LVA', 'LTU', 'POL', 'SVK']"
123,REMIND 3.1|EU Center-South Europe,REMIND 3.1,"['Bulgaria', 'Croatia', 'Hungary', 'Romania', 'Slovenia']","['BGR', 'HRV', 'HUN', 'ROU', 'SVN']"
124,REMIND 3.1|EU North-Center Europe,REMIND 3.1,"['Denmark', 'Faroe Islands', 'Finland', 'Sweden', 'Åland Islands']","['DNK', 'FRO', 'FIN', 'SWE', 'ALA']"
125,REMIND 3.1|EU South-Center Europe,REMIND 3.1,"['Cyprus', 'Greece', 'Italy', 'Malta']","['CYP', 'GRC', 'ITA', 'MLT']"
126,REMIND 3.1|EU South-West Europe,REMIND 3.1,"['Portugal', 'Spain']","['PRT', 'ESP']"
127,REMIND 3.1|EU North-West Europe,REMIND 3.1,"['Austria', 'Belgium', 'Luxembourg', 'Netherlands']","['AUT', 'BEL', 'LUX', 'NLD']"
128,REMIND 3.1|Non-EU Northern Europe,REMIND 3.1,"['Greenland', 'Iceland', 'Liechtenstein', 'Norway', 'Svalbard and Jan Mayen', 'Switzerland']","['GRL', 'ISL', 'LIE', 'NOR', 'SJM', 'CHE']"
129,REMIND 3.1|Non-EU Southern Europe,REMIND 3.1,"['Albania', 'Andorra', 'Bosnia and Herzegovina', 'Monaco', 'Montenegro', 'North Macedonia', 'San Marino', 'Serbia', 'Turkey', 'Vatican']","['ALB', 'AND', 'BIH', 'MCO', 'MNE', 'MKD', 'SMR', 'SRB', 'TUR', 'VAT']"
130,REMIND 3.1|EU 27,REMIND 3.1,"['Austria', 'Belgium', 'Bulgaria', 'Croatia', 'Cyprus', 'Czechia', 'Denmark', 'Estonia', 'Faroe Islands', 'Finland', 'France', 'Germany', 'Greece', 'Hungary', 'Italy', 'Latvia', 'Lithuania', 'Luxembourg', 'Malta', 'Netherlands', 'Poland', 'Portugal', 'Romania', 'Slovakia', 'Slovenia', 'Spain', 'Sweden', 'Åland Islands']","['AUT', 'BEL', 'BGR', 'HRV', 'CYP', 'CZE', 'DNK', 'EST', 'FRO', 'FIN', 'FRA', 'DEU', 'GRC', 'HUN', 'ITA', 'LVA', 'LTU', 'LUX', 'MLT', 'NLD', 'POL', 'PRT', 'ROU', 'SVK', 'SVN', 'ESP', 'SWE', 'ALA']"
131,IMAGE 3.4|Brazil,IMAGE 3.4,['Brazil'],['BRA']
132,IMAGE 3.4|Canada,IMAGE 3.4,['Canada'],['CAN']
133,IMAGE 3.4|Central Europe,IMAGE 3.4,"['Albania', 'Bosnia and Herzegovina', 'Bulgaria', 'Croatia', 'Cyprus', 'Czechia', 'Estonia', 'Hungary', 'Latvia', 'Lithuania', 'North Macedonia', 'Poland', 'Romania', 'Serbia', 'Montenegro', 'Slovakia', 'Slovenia']","['ALB', 'BIH', 'BGR', 'HRV', 'CYP', 'CZE', 'EST', 'HUN', 'LVA', 'LTU', 'MKD', 'POL', 'ROU', 'SRB', 'MNE', 'SVK', 'SVN']"
134,IMAGE 3.4|China Region,IMAGE 3.4,"['China', 'Hong Kong', 'Macao', 'Mongolia', 'Taiwan']","['CHN', 'HKG', 'MAC', 'MNG', 'TWN']"
135,IMAGE 3.4|Eastern Africa,IMAGE 3.4,"['Burundi', 'Comoros', 'Djibouti', 'Eritrea', 'Ethiopia', 'Kenya', 'Madagascar', 'Mauritius', 'Réunion', 'Rwanda', 'Seychelles', 'Somalia', 'Sudan', 'Uganda']","['BDI', 'COM', 'DJI', 'ERI', 'ETH', 'KEN', 'MDG', 'MUS', 'REU', 'RWA', 'SYC', 'SOM', 'SDN', 'UGA']"
136,IMAGE 3.4|India,IMAGE 3.4,['India'],['IND']
137,IMAGE 3.4|Indonesia Region,IMAGE 3.4,"['Timor-Leste', 'Indonesia', 'Papua New Guinea']","['TLS', 'IDN', 'PNG']"
138,IMAGE 3.4|Japan,IMAGE 3.4,['Japan'],['JPN']
139,IMAGE 3.4|Korea Region,IMAGE 3.4,"['South Korea', 'North Korea']","['KOR', 'PRK']"
140,IMAGE 3.4|Middle East,IMAGE 3.4,"['Bahrain', 'Iran', 'Iraq', 'Israel', 'Jordan', 'Kuwait', 'Lebanon', 'Oman', 'Palestine', 'Qatar', 'Saudi Arabia', 'Syria', 'United Arab Emirates', 'Yemen']","['BHR', 'IRN', 'IRQ', 'ISR', 'JOR', 'KWT', 'LBN', 'OMN', 'PSE', 'QAT', 'SAU', 'SYR', 'ARE', 'YEM']"
141,IMAGE 3.4|Mexico,IMAGE 3.4,['Mexico'],['MEX']
142,IMAGE 3.4|Northern Africa,IMAGE 3.4,"['Algeria', 'Egypt', 'Libya', 'Morocco', 'Tunisia', 'Western Sahara']","['DZA', 'EGY', 'LBY', 'MAR', 'TUN', 'ESH']"
143,IMAGE 3.4|Oceania,IMAGE 3.4,"['American Samoa', 'Australia', 'Cook Islands', 'Fiji', 'French Polynesia', 'Kiribati', 'Marshall Islands', 'Micronesia', 'Nauru', 'New Caledonia', 'New Zealand', 'Niue', 'Northern Mariana Islands', 'Palau', 'Pitcairn', 'Samoa', 'Solomon Islands', 'Tokelau', 'Tonga', 'Tuvalu', 'Vanuatu', 'Wallis and Futuna']","['ASM', 'AUS', 'COK', 'FJI', 'PYF', 'KIR', 'MHL', 'FSM', 'NRU', 'NCL', 'NZL', 'NIU', 'MNP', 'PLW', 'PCN', 'WSM', 'SLB', 'TKL', 'TON', 'TUV', 'VUT', 'WLF']"
